Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
5636 N Osceola Ave,60631,439000,1690,260,4,2,2,1946,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
10 E 113th Pl,60628,45000,1840,24,6,2,2,1890,Gas,null,Garage - Detached: Covered,Single Family,null,null,null
2130 N Kenmore Ave,60614,6800000,9000,756,8,8,6,null,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
6800 N California Ave APT 2R,60645,137900,1250,110,2,2,2,1969,null,null,Covered,Condo,null,4,370
460 W Huron St,60654,7999000,10360,772,7,11,8,2009,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,315
5200 S Ellis Ave APT 205,60615,239500,1200,200,2,2,2,1971,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,6,930
414 W Wellington Ave,60657,664900,2700,246,3,4,3,1939,Gas,Central,Garage: Covered,Townhouse,null,2,290
7941 S Woodlawn Ave,60619,98000,null,NaN,6,2,2,1906,Forced air: Gas,null,None,Multiple Occupancy,No,null,null
550 W Surf St #C004,60657,245000,1150,213,2,1,1,1890,Forced air: Gas,Central,None: Covered,Condo,null,7,350
4631 W Harrison St,60644,175000,null,NaN,5,4,4,1900,Gas,null,Covered,Multiple Occupancy,null,null,null
1940 S Trumbull Ave,60623,305000,null,NaN,7,3,3,1881,Forced air: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
7638 S Michigan Ave,60619,330000,1399,236,4,2,2,1925,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
6945 S Hermitage Ave,60636,44900,null,NaN,5,2,2,1904,Gas,null,None,Multiple Occupancy,No,null,null
5204 S Lockwood Ave,60638,450000,3583,126,6,3,3,1931,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4833 W Crystal St,60651,215900,1100,196,3,2,1,1918,Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
10229 S California Ave,60655,219000,1100,199,3,2,2,1955,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5150 S Sawyer Ave,60632,180000,1488,121,3,3,1,1885,Gas,null,Garage - Detached: Covered,Single Family,null,null,null
420 E Waterside Dr UNIT 306,60601,239000,629,380,1,1,1,2006,Forced air: Electric: Gas,Central,Garage - Attached: Covered,Condo,null,9,367
3513 N Kolmar Ave,60641,274900,1000,275,4,2,2,1959,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1521 N State Pkwy,60610,9950000,9700,1026,6,8,8,1894,Forced air: Gas,Central,Garage - Attached: Garage - Detached: Covered,Single Family,null,4,null
2733 W Nelson St,60618,620000,2000,310,4,3,2,1905,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5041 S Lawler Ave,60638,269900,1063,254,5,2,2,1950,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
6108 N Caldwell Ave,60646,369000,2750,134,4,3,2,1975,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
